A-levels scores,Current Annual Income,References Submitted,Is_Employed,University Tier,Education_business,Education_law,Education_stem,Was Hired by a Company within 6 months
0.6153846153846154,-0.6754583524336583,1,1,Other,0.0,1.0,0.0,1
-0.5,0.6167821544280643,0,1,Other,0.0,0.0,0.0,0
0.46153846153846156,-0.6754583524336583,1,0,Other,0.0,0.0,1.0,0
-0.7307692307692307,0.18129031829445724,1,1,Other,0.0,0.0,1.0,0
0.0,-0.017299911640236247,1,1,Strong,0.0,1.0,0.0,0
0.6153846153846154,-0.6754583524336583,1,1,Elite,1.0,0.0,0.0,1
-0.7307692307692307,0.5859293166180577,1,1,Other,0.0,0.0,1.0,0
0.6538461538461539,-0.2593480865349907,1,1,Other,0.0,0.0,0.0,1
0.5769230769230769,-0.6754583524336583,0,0,Other,0.0,0.0,1.0,0
0.9230769230769231,0.543800089909935,1,1,Elite,1.0,0.0,0.0,1
0.15384615384615385,0.3771256723867987,0,1,Strong,0.0,1.0,0.0,0
0.038461538461538464,-0.194834386342548,1,1,Other,0.0,0.0,0.0,0
0.23076923076923078,-0.03181837307308172,1,1,Strong,0.0,1.0,0.0,1
-0.3076923076923077,0.17782679271773816,1,1,Strong,1.0,0.0,0.0,0
-0.23076923076923078,-0.6754583524336583,1,0,Other,0.0,0.0,0.0,0
-0.46153846153846156,0.10036251862973716,1,1,Other,0.0,0.0,0.0,0
0.8076923076923077,0.1526342946609886,1,1,Other,1.0,0.0,0.0,1
0.6153846153846154,0.23614866585614852,1,1,Other,0.0,0.0,1.0,1
0.11538461538461539,-0.6754583524336583,1,0,Other,0.0,1.0,0.0,0
0.3076923076923077,0.35349220374565676,1,1,Elite,0.0,0.0,1.0,1
-0.38461538461538464,0.035618507273625165,1,1,Other,0.0,1.0,0.0,0
-0.4230769230769231,0.26077424412540445,0,1,Other,0.0,0.0,1.0,0
0.19230769230769232,0.20353306183190387,1,1,Other,0.0,1.0,0.0,1
-0.23076923076923078,-0.6754583524336583,1,0,Other,0.0,1.0,0.0,0
0.07692307692307693,-0.6754583524336583,0,0,Other,0.0,1.0,0.0,0
-0.46153846153846156,0.05549613232262165,0,1,Other,0.0,0.0,1.0,0
-0.11538461538461539,0.1297006176325341,1,1,Other,0.0,0.0,0.0,0
0.34615384615384615,0.29550693923107074,1,1,Other,0.0,0.0,1.0,1
0.0,0.09789110268113198,0,1,Other,0.0,1.0,0.0,0
0.8076923076923077,-0.004668230125143114,1,1,Other,0.0,1.0,0.0,1
0.5,0.38325549258907393,1,1,Strong,0.0,0.0,1.0,0
0.9230769230769231,-0.24542311925467764,1,1,Elite,0.0,1.0,0.0,1
0.8076923076923077,0.42587191598957397,1,1,Other,0.0,1.0,0.0,1
-0.8461538461538461,0.20016697559366023,1,1,Other,0.0,0.0,0.0,0
0.5384615384615384,0.4267134375491349,1,1,Elite,0.0,0.0,0.0,1
0.5384615384615384,-0.6754583524336583,1,0,Other,0.0,0.0,0.0,0
0.6153846153846154,0.2874903391110432,1,1,Other,1.0,0.0,0.0,1
-0.5,0.5550853369297307,1,1,Strong,0.0,0.0,1.0,0
-0.6923076923076923,0.05639080261226009,1,1,Other,0.0,1.0,0.0,0
-0.4230769230769231,-0.03719525293259191,1,1,Other,0.0,0.0,0.0,0
0.6153846153846154,-0.2739285548195933,1,1,Elite,0.0,1.0,0.0,1
0.3076923076923077,0.0910437746228101,1,1,Other,1.0,0.0,0.0,0
-0.5384615384615384,-0.6754583524336583,1,0,Other,0.0,0.0,1.0,0
0.8461538461538461,-0.03725725978434903,1,1,Elite,1.0,0.0,0.0,1
0.8461538461538461,0.6225399335197968,1,1,Elite,0.0,0.0,1.0,1
0.23076923076923078,0.41445379714458447,1,1,Elite,0.0,0.0,1.0,1
0.38461538461538464,0.06994372878203041,1,1,Other,0.0,0.0,0.0,1
0.9230769230769231,-0.6754583524336583,1,1,Other,0.0,1.0,0.0,1
-0.5,-0.6754583524336583,1,0,Strong,1.0,0.0,0.0,0
-0.7307692307692307,-0.31897210356030054,0,1,Other,1.0,0.0,0.0,0
0.7692307692307693,0.494274331599356,1,1,Elite,0.0,0.0,0.0,1
-0.5769230769230769,0.4523754160549026,0,1,Other,0.0,0.0,0.0,0
0.9230769230769231,0.01740620910039131,1,1,Other,0.0,0.0,1.0,1
0.8461538461538461,-0.6754583524336583,1,1,Other,0.0,0.0,1.0,1
-0.6538461538461539,0.33683007686635086,0,1,Other,0.0,0.0,0.0,0
0.5,0.058773637344069374,1,1,Elite,0.0,0.0,1.0,1
-0.7307692307692307,-0.06480601820786912,0,1,Other,0.0,0.0,1.0,0
-0.9230769230769231,0.09615491083193264,1,1,Other,0.0,0.0,0.0,0
0.46153846153846156,-0.0012844276435403255,0,1,Other,0.0,1.0,0.0,0
0.7307692307692307,0.3018050637452581,1,1,Other,0.0,1.0,0.0,1
0.6153846153846154,-0.6754583524336583,1,1,Elite,0.0,0.0,0.0,1
-0.23076923076923078,0.4155787785978922,1,1,Other,0.0,1.0,0.0,0
-0.9615384615384616,-0.6754583524336583,1,0,Other,0.0,0.0,1.0,0
0.9230769230769231,0.4076241853296218,1,1,Other,0.0,0.0,0.0,1
-0.5769230769230769,0.636376319583314,1,1,Other,1.0,0.0,0.0,0
0.9230769230769231,0.6093501903388896,1,1,Elite,0.0,0.0,1.0,1
0.6923076923076923,0.14339527374917785,1,1,Other,0.0,0.0,1.0,1
-0.5384615384615384,0.16173158562592596,1,1,Other,0.0,0.0,1.0,0
-0.11538461538461539,-0.08909498785330065,0,1,Other,0.0,1.0,0.0,0
0.23076923076923078,0.2448473413455044,0,1,Strong,0.0,0.0,1.0,0
-0.5,-0.042802443955771395,1,1,Other,1.0,0.0,0.0,0
0.07692307692307693,-0.6754583524336583,1,0,Other,0.0,0.0,1.0,0
0.15384615384615385,-0.6754583524336583,0,0,Strong,0.0,1.0,0.0,0
0.15384615384615385,-0.6754583524336583,0,0,Other,0.0,1.0,0.0,0
0.2692307692307692,0.007963451389950018,1,1,Strong,0.0,0.0,0.0,1
-0.9615384615384616,-0.09267366901185438,0,1,Other,0.0,0.0,1.0,0
